cluster,variant,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,chosen_k,chosen_tau,mean_support,median_radius,cache_pipeline_signature
UBC1001,full_core,,,,,,1.0,1.0,1.0,0.0,0.1495934999547898,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1002,full_core,,,,,,1.0,0.9855072463768116,0.9927007299270074,0.0,0.1411177000263705,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1003,full_core,,,,,,1.0,1.0,1.0,0.0,0.1332718000048771,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1004,full_core,,,,,,1.0,0.8923444976076556,0.943109987357775,0.0,0.2236466000322252,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1005,full_core,,,,,,1.0,1.0,1.0,0.0,0.130677199922502,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1006,full_core,,,,,,1.0,1.0,1.0,0.0,0.1524753000121563,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1007,full_core,,,,,,1.0,1.0,1.0,0.0,0.1320351000176742,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1008,full_core,,,,,,1.0,0.9655172413793104,0.9824561403508772,0.0,0.1419637999497354,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1009,full_core,,,,,,1.0,1.0,1.0,0.0,0.1359242000617087,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1010,full_core,,,,,,1.0,0.9782608695652174,0.989010989010989,0.0,0.1336340999696403,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1011,full_core,,,,,,1.0,0.9361702127659576,0.967032967032967,0.0,0.1358102000085637,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1012,full_core,,,,,,1.0,0.9767441860465116,0.988235294117647,0.0,0.1272821999154985,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1013,full_core,,,,,,1.0,1.0,1.0,0.0,0.13561750005465,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1014,full_core,,,,,,1.0,1.0,1.0,0.0,0.1243243999779224,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1015,full_core,,,,,,1.0,0.6382978723404256,0.7792207792207793,0.0,0.2382948999293148,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1016,full_core,,,,,,1.0,1.0,1.0,0.0,0.136140999966301,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1017,full_core,,,,,,1.0,1.0,1.0,0.0,0.1298176000127568,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1018,full_core,,,,,,1.0,0.961038961038961,0.9801324503311256,0.0,0.1513668999541551,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1019,full_core,,,,,,1.0,0.9615384615384616,0.9803921568627452,0.0,0.136317600030452,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1020,full_core,,,,,,1.0,0.990909090909091,0.995433789954338,0.0,0.1531827000435441,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1021,full_core,,,,,,1.0,1.0,1.0,0.0,0.1443993001012131,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1022,full_core,,,,,,1.0,0.6756756756756757,0.8064516129032258,0.0,0.1416118999477476,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1023,full_core,,,,,,1.0,1.0,1.0,0.0,0.1367856999859213,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1024,full_core,,,,,,1.0,0.9076923076923076,0.9516129032258064,0.0,0.1399194999830797,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1025,full_core,,,,,,1.0,0.9230769230769232,0.96,0.0,0.129201199975796,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1026,full_core,,,,,,1.0,1.0,1.0,0.0,0.1303957999916747,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1027,full_core,,,,,,1.0,0.9126637554585152,0.954337899543379,0.0,0.1565838999813422,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1028,full_core,,,,,,1.0,1.0,1.0,0.0,0.2497906999196857,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1029,full_core,,,,,,1.0,0.9772727272727272,0.9885057471264368,0.0,0.1611514000687748,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1030,full_core,,,,,,1.0,1.0,1.0,0.0,0.1404585998971015,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1031,full_core,,,,,,1.0,0.9333333333333332,0.9655172413793104,0.0,0.1529481000034138,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1032,full_core,,,,,,1.0,1.0,1.0,0.0,0.1209722999483347,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1033,full_core,,,,,,1.0,0.9696969696969696,0.9846153846153848,0.0,0.1274125999771058,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1034,full_core,,,,,,1.0,1.0,1.0,0.0,0.1554392999969422,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
UBC1035,full_core,,,,,,1.0,0.8839285714285714,0.9383886255924172,0.0,0.1587121000047773,imported_core_reference,0.0,,IMPORTED_CORE_BENCHMARK_REFERENCE,,,,,
